age,education.num,occupation,sex,income
90,9,?,Female,<=50K
82,9,Exec-managerial,Female,<=50K
66,10,?,Female,<=50K
54,4,Machine-op-inspct,Female,<=50K
41,10,Prof-specialty,Female,<=50K
34,9,Other-service,Female,<=50K
38,6,Adm-clerical,Male,<=50K
74,16,Prof-specialty,Female,>50K
68,9,Prof-specialty,Female,<=50K
41,10,Craft-repair,Male,>50K
45,16,Prof-specialty,Female,>50K
38,15,Prof-specialty,Male,>50K
52,13,Other-service,Female,>50K
32,14,Exec-managerial,Male,>50K
51,16,?,Male,>50K
46,15,Prof-specialty,Male,>50K
45,7,Transport-moving,Male,>50K
57,14,Exec-managerial,Male,>50K
22,12,Handlers-cleaners,Male,>50K
34,13,Sales,Male,>50K
37,13,Exec-managerial,Male,>50K
29,7,Sales,Female,<=50K
61,9,Sales,Female,<=50K
51,10,Transport-moving,Male,<=50K
61,9,?,Male,<=50K
21,11,Craft-repair,Male,<=50K
33,2,Craft-repair,Male,<=50K
49,3,Other-service,Male,<=50K
37,6,Transport-moving,Male,>50K
38,6,Prof-specialty,Male,>50K
23,10,Other-service,Male,>50K
59,6,Exec-managerial,Female,>50K
52,15,Exec-managerial,Male,>50K
51,13,Exec-managerial,Male,>50K
60,9,Exec-managerial,Male,>50K
63,16,Exec-managerial,Female,>50K
53,9,Sales,Male,>50K
51,15,Prof-specialty,Female,>50K
37,16,Prof-specialty,Female,>50K
54,14,Prof-specialty,Female,>50K
44,13,Exec-managerial,Male,>50K
43,14,Exec-managerial,Female,>50K
51,10,Adm-clerical,Female,>50K
43,14,Prof-specialty,Female,>50K
71,9,?,Male,<=50K
48,13,Sales,Female,>50K
71,9,Sales,Male,<=50K
73,9,Farming-fishing,Male,<=50K
68,10,?,Female,<=50K
67,10,?,Male,<=50K
40,15,Prof-specialty,Male,>50K
50,9,Sales,Female,>50K
51,11,Tech-support,Male,>50K
42,10,Exec-managerial,Female,>50K
39,14,Sales,Male,>50K
32,13,Exec-managerial,Male,>50K
53,10,Craft-repair,Male,>50K
40,10,Protective-serv,Male,>50K
38,13,Sales,Female,>50K
33,11,Craft-repair,Male,>50K
43,12,Craft-repair,Male,>50K
50,7,Exec-managerial,Male,>50K
44,10,Adm-clerical,Female,>50K
51,13,Sales,Male,>50K
41,15,Prof-specialty,Male,>50K
60,11,Machine-op-inspct,Male,>50K
37,14,Exec-managerial,Male,>50K
55,15,Prof-specialty,Male,>50K
39,13,Sales,Male,>50K
42,15,Prof-specialty,Male,>50K
49,13,Sales,Male,>50K
47,9,Exec-managerial,Male,>50K
41,15,Prof-specialty,Male,>50K
55,13,Exec-managerial,Male,>50K
39,14,Exec-managerial,Female,>50K
42,13,Exec-managerial,Male,>50K
41,11,?,Male,>50K
46,14,Sales,Male,>50K
40,14,Exec-managerial,Male,>50K
32,13,Prof-specialty,Male,>50K
41,10,Exec-managerial,Male,>50K
60,15,Prof-specialty,Male,>50K
